"Country","Year","Total density per 100 000 population: Health posts","Total density per 100 000 population: Health centres","Total density per 100 000 population: District/rural hospitals","Total density per 100 000 population: Provincial hospitals","Total density per 100 000 population: Specialized hospitals","Total density per 100 000 population: Hospitals"
"Malaysia"," 2013","","","0.32","0.07","0.08","0.47"
"Malaysia"," 2010","","","0.33","0.07","0.08",""
"Maldives"," 2013","11.01","35.94","6.09","0.58","","6.67"
"Maldives"," 2010","12.03","39.25","6.65","0.63","",""
"Mali"," 2013","","5.71","0.39","0.05","0.03","0.46"
"Mali"," 2010","","5.68","0.38","0.05","0.03",""
"Malta"," 2013","2.10","1.86","0.47","0.23","0.23","0.93"
"Malta"," 2010","2.16","1.92","0.48","0.24","0.24",""
"Marshall Islands"," 2013","1.90","98.80","0.00","3.80","0.00","3.80"
"Marshall Islands"," 2010","1.85","96.23","0.00","3.70","0.00",""
"Mauritania"," 2013","11.65","3.80","0.69","0.15","0.18","1.03"
"Mauritania"," 2010","13.09","4.28","0.78","0.17","0.20",""
"Mauritius"," 2013","8.84","0.16","0.16","0.40","0.40","0.96"
"Mauritius"," 2010","8.47","0.15","0.15","0.38","0.38",""
"Mexico"," 2013","102.07","","","3.46","0.06","3.51"
"Mexico"," 2010","110.08","","","3.73","0.06",""
"Micronesia (Federated States of)"," 2013","117.82","0.00","4.83","0.00","0.00","4.83"
"Micronesia (Federated States of)"," 2010","22.75","0.00","0.93","0.00","0.00",""
"Monaco"," 2013","","","","10.57","","10.57"
"Monaco"," 2010","","","","11.30","",""
"Mongolia"," 2013","41.03","16.34","1.23","1.27","","2.50"
"Mongolia"," 2010","42.27","16.84","1.27","1.31","",""
"Montenegro"," 2013","15.93","2.90","1.45","0.48","0.16","2.09"
"Montenegro"," 2010","2.85","","1.43","0.48","0.16",""
"Myanmar"," 2013","3.79","0.95","0.51","0.07","0.05","0.63"
"Myanmar"," 2010","4.21","1.06","0.57","0.08","0.06",""
"Namibia"," 2013","12.76","2.30","1.30","0.17","0.43","1.91"
"Namibia"," 2010","12.88","2.32","1.31","0.18","0.44",""
"Nauru"," 2013","","","","9.95","","9.95"
"Nauru"," 2010","","","","9.75","",""
"Nepal"," 2013","2.51","0.72","0.23","0.10","0.04","0.38"
"Nepal"," 2010","2.33","0.67","0.22","0.10","0.04",""
"Netherlands"," 2013","","","","","0.76","0.76"
"Netherlands"," 2010","","","","","0.77",""
"Nicaragua"," 2013","14.64","2.60","0.43","0.43","0.10","0.95"
"Nicaragua"," 2010","15.38","2.73","0.45","0.45","0.10",""
